been,name,address,city,state,zip,lat,lng,note,url,tag,Rating
No,New Maharaja,1009 W Park Ave,Chippewa Falls,WI,54729,44.9140852623193,-91.3996697047219,"Savor authentic Indian cuisine at New Maharaja Indian Cuisine and Bar in Chippewa Falls, WI, serving lunch and dinner with dishes like Chicken Tikka Masala, Lamb Vindaloo, and Vegetable Samosas. Customers love our vibrant flavors and warm hospitality. Order delivery or takeout for a tasty meal in Chippewa Falls, Eau Claire, or Altoona neighborhoods!",https://www.newmaharajaindiancuisinenbar.com/,Indian,
No,Chubbys,501 Water St,Eau Claire,WI,54703,44.9140852623193,-91.3996697047219,"Take out only – bahn mi sliders, birria taco egg roll.",https://chubbyseauclaire.square.site/,Korean,
Yes,Thai Orchid,203 N Barstow St,Eau Claire,WI,54703,44.8149973436063,-91.5012785182222,Medium good thai food. People are super nice. We usually get take out and go to a park to eat it. Usually too much food but it’s better than average,https://www.facebook.com/ThaiOrchidEauClaire/,Thai,
No,"Helix Wine, Craft Bar & Cafe",1444 Front Porch Pl,Altoona,WI,54720,44.8212657711909,-91.4600159865077,only open on the Weekends for lunch,https://www.thehelixexperience.com/,Brunch,
Yes,Juantias,1476 Blazing Star Blvd,Altoona,WI,54720,44.8203952462002,-91.4573168758936,Good Mexican food – plentiful and flavorful. People were really nice. ,https://www.tacosjuanitaec.com/,Mexican,
no,Cajun Red’s,2121 Eddy Ln,Eau Claire,WI,54703,44.8505076366598,-91.4785745134923,All sites seem to indicate this restaurant may no longer exist?,https://www.facebook.com/people/Cajun-Reds/61575732581566/,Red Beans and Rice,
no,Hanger 54,3800 Starr Ave,Eau Claire,WI,54703,44.8625945050196,-91.4826794893824,,,,
Yes,Bridge St Brew,114 N Bridge St.,Chippewa Falls,WI,54729,44.936114433381,-91.3921767182124,Excellent sandwich shop in downtown Chippewa Falls,https://www.bridgestreetbrew.com/,Sandwich,
Yes,Wigwam Tavern,314 E Madison St,Eau Claire,WI,54703,44.8166043672023,-91.5024533317144,Wisconsin Tavern. Burgers are good,https://wigwamtavern.com/,tavern fare,
yes,Beast + Bonito,217 Division Street,Altoona,WI,54720,44.8070341270371,-91.4335589,BEST – absolute best Japanese ramen. I really love this place.,https://www.facebook.com/people/Beast-Bonito/61578635004104/#,Ramen,
yes,Xavier Artisan Bistro,1470 Rivers Edge Trail,Altoona,WI,54720,44.8197187280274,-91.4525729912373,Really interesting cafe with excellent sandwiches. A Turkish influence. Fresh and interesting.,https://www.xabistro.com/,,
yes,Tokyo,2472 S. Main St.,Rice Lake,WI,54868,45.4746039044401,-91.7368626470041,Best shrimp tempura bento box. There are several of these japanese restaurants in our area each with the name of a japanese city… but this one has the best bento box.,http://tokyoricelake.com/,,
yes,Egg Rolls and More,1419 Lynn Ave.,Altoona,WI,54720,44.806391211764,-91.4345941605511,"We went once and have not given up, but things were not the best…",https://www.facebook.com/people/Egg-Rolls-%EC%97%AC%EC%9E%90-and-more/100083612370822/#,Korean,
yes,7 Brothers Bar and Grill,107 S Prentice St.,Clayton,WI,54004,45.3315473891104,-92.1723247298209,Current BEST BURGER on our list.,https://www.7brothersbarandgrill.com/,Burger,
yes,Nichol Inn,414 Main Street,Knapp,WI,54749,44.9535660971557,-92.0847670758828,Good fish fry. Good burgers. Really nice spot,https://nichol-inn.com/,Tavern Fare,
yes,Lucette Brewery,910 Hudson Rd,Menomonie,WI,54751,44.8753835354407,-91.9401320758891,BEST PIZZA and beer! Our favorite place in Menomonie – but only Fri-Sun for lunch.,https://www.lucettebrewing.com/,Pizza,
"yes,",Roxy's Puerto Rican Cafe,,Cameron,WI,,45.4085719106019,-91.7437018608714,Lovely little spot. Very earnest. The rice with peas was a meal in itself.,https://www.facebook.com/p/Roxies-Puerto-Rican-Cuisine-61568156950599/,Puerto Rican,
yes,Anderson's Chic-n-Fish,,Chippewa Falls,WI,,44.9185554297788,-91.3969144384219,Great take out for fish and chips.,https://chic-n-fish.com/,Fried Fish,
yes,Too Mixed Up,E54i80 WI-64,Wheeler,WI,54772,45.131887,-91.887176,Good burgers,Mix Up Bars ,Burgers,
no,"Dave's Drive-in",6 Elm Street,Chippewa Falls,WI,54729,44.941442125938316, -91.39872413200666,"the name says it all",https://www.facebook.com/DavesDriveIn?mibextid=wwXIfr&rdid=Ez5kMw03XQDqUKlD&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F19TRHh8n4x%2F%3Fmibextid%3DwwXIfr#,Hot Dogs,
no,1917 Lake Wissouta,9504 County Hwy-S, Chippewa Falls, WI 54729,44.9814175713006, -91.34221063015518,Old Native Bay location,https://www.1917lakewissota.com/,,
no,Asian Duck,4010 E 46th St, Minneapolis, MN 55406,44.925881557047006, -93.21317758692905,Lao place,https://asianduck.site/,Asian,
no,Shepherds Table MN,3708 E 34th St, Minneapolis, MN 55406,44.941808850132276, -93.21874747677661,Sandwich and cheese shop.,https://www.shepherdstablemn.com/,Sandwiches,
no,The View,17779 Co Hwy X, Chippewa Falls, WI 54729,44.92621204609915, -91.31190088967872,On a pennisula in Lake Wissouta,http://www.theviewonlakewissota.com/,,
no,"Josephine's Pastaria",17158 Co Hwy J Ste e, Chippewa Falls, WI 54729,44.923155662803154, -91.32172675899396,Italian Place on Lake Wissouta,https://josephineswissota.com/, Italian,
no,Zakia Deli,2412 Kennedy St NE, Minneapolis, MN 55413,44.99511947414774, -93.22619311851068,Lebanese place,https://zakiadeli.squarespace.com/,Lebanese,

